ticker,price,change,volume
ZYME,24.34,1.93%,229,823
ZVRA,13.03,0.27%,648,211
ZURA,4.22,-2.05%,675,585
ZTO,21.89,-0.43%,900,461
ZLAB,18.33,-0.89%,665,121
ZIM,25.14,-1.14%,631,865
ZGN,13.21,0.68%,729,927
SUZ,8.06,0.29%,1,742,480
SUPV,9.36,-7.52%,825,465
SUPN,45.41,2.09%,464,727
STWD,16.72,-0.12%,2,646,958
STVN,17.03,0.95%,267,285
STUB,11.13,-5.88%,4,735,704
STTK,6.09,12.89%,899,008
STOK,30.92,-0.61%,405,685
STNE,10.88,1.45%,2,636,941
STLA,5.85,-1.85%,16,716,765
STGW,7.05,0.21%,812,913
STEP,41.30,-3.80%,825,585
STAG,39.19,0.80%,1,037,255
STAA,28.61,0.88%,278,550
ST,47.79,-2.09%,822,235
SSYS,8.27,-0.60%,464,207
SSRM,27.88,-4.73%,1,917,654
SSL,10.47,-5.76%,1,586,213
SRTA,5.49,-1.35%,719,662
SRPT,16.94,-1.85%,1,289,887
SRAD,14.75,0.34%,1,094,706
SPT,6.74,2.96%,698,758
SPRY,10.60,3.11%,976,356
