ticker,price,change,volume
ZYME,23.14,0.00%,699,014
SWIM,5.82,3.56%,1,071,416
SWBI,16.08,17.12%,4,649,927
SW,44.20,1.80%,9,402,154
SVV,10.15,5.07%,1,501,152
SVRA,5.50,2.23%,4,759,297
SVM,11.32,-4.71%,13,836,037
SVCO,13.35,5.70%,692,781
SVC,1.69,5.63%,17,139,107
SUZ,8.39,1.33%,4,290,575
SUPV,11.38,1.52%,1,481,785
SUPN,44.38,1.84%,1,096,029
STWD,16.70,0.24%,4,651,816
STVN,17.54,2.81%,263,915
STUB,11.68,2.46%,10,884,924
STTK,4.95,4.43%,1,220,694
STOK,31.00,2.45%,1,946,226
STNE,10.59,-1.67%,4,982,201
STLA,6.34,-2.01%,15,851,944
STGW,6.71,0.75%,1,433,756
STEP,45.20,-1.46%,3,223,638
STAG,37.80,1.42%,2,636,846
STAA,29.12,-0.34%,804,842
SSYS,8.92,1.13%,4,969,115
SSRM,30.95,-2.58%,4,422,316
SSMR,13.69,-2.14%,264,009
SSL,10.77,0.28%,3,321,617
SRTA,5.88,1.55%,2,668,386
SRRK,47.33,0.81%,3,058,253
SRPT,17.53,3.36%,5,607,311
SRAD,15.06,0.20%,1,955,269
SPT,6.55,-4.66%,2,028,509
SPRY,9.65,-2.53%,2,276,961
