ticker,price,change,volume
ZYME,24.33,1.87%,232,349
ZVRA,13.03,0.23%,651,952
ZURA,4.22,-2.06%,675,861
ZTO,21.88,-0.43%,907,222
ZLAB,18.33,-0.87%,669,913
ZIM,25.14,-1.14%,632,388
ZGN,13.21,0.68%,731,517
SWMR,37.65,-9.18%,286,067
SWIM,6.07,3.32%,519,137
SWBI,16.41,-1.59%,587,063
SW,46.44,4.69%,3,771,671
SVV,10.29,5.96%,387,169
SVRA,5.82,0.75%,1,016,185
SVM,10.23,-3.36%,2,441,383
SVC,1.76,2.92%,9,524,990
SUZ,8.06,0.31%,1,750,741
SUPV,9.36,-7.53%,826,241
SUPN,45.36,1.98%,465,443
STWD,16.72,-0.13%,2,652,784
STVN,17.06,1.10%,269,174
STUB,11.12,-5.99%,4,781,810
STTK,6.11,13.27%,907,044
STOK,30.92,-0.61%,408,443
STNE,10.87,1.43%,2,645,930
STLA,5.84,-2.01%,16,742,196
STGW,7.05,0.14%,813,863
STEP,41.43,-3.48%,830,551
STAG,39.19,0.79%,1,060,853
STAA,28.62,0.92%,280,680
ST,47.81,-2.06%,826,900
SSYS,8.27,-0.66%,466,315
SSRM,27.90,-4.65%,1,928,783
SSL,10.47,-5.76%,1,603,167
SRTA,5.49,-1.35%,720,261
SRPT,16.92,-1.97%,1,298,132
SRAD,14.74,0.31%,1,113,000
SPT,6.76,3.13%,705,331
SPRY,10.60,3.11%,977,392
