ticker,price,change,volume
ZYME,23.88,2.67%,623,200
ZWS,48.26,-2.78%,855,751
UMC,26.20,-4.73%,25,943,474
UMAC,21.51,-4.70%,2,972,405
ULCC,7.25,1.54%,3,289,357
UGP,4.94,1.02%,2,746,150
UGI,34.72,2.75%,2,671,597
UEC,11.34,-1.13%,8,776,028
UE,22.92,2.55%,1,353,814
UDR,38.28,1.43%,4,709,712
UCB,34.04,1.98%,1,031,696
UBSI,45.29,0.76%,1,326,106
UAMY,7.01,-10.13%,5,562,756
UAA,5.78,-2.20%,5,122,465
UA,5.61,-2.09%,2,350,649
U,27.61,1.73%,9,196,302
TYRA,30.06,-0.27%,1,031,993
TXG,31.87,-3.25%,3,294,345
TWO,12.32,0.82%,1,189,540
TWI,7.28,-3.70%,919,367
TV,2.71,-0.73%,1,113,308
TUYA,1.84,0.00%,775,922
TU,11.49,1.32%,4,280,988
TTI,10.13,-2.03%,1,042,339
TTEK,28.04,3.28%,5,187,007
TTD,17.93,-0.50%,23,123,310
TSSI,12.72,-4.36%,627,372
TSLX,16.49,1.48%,695,195
TSHA,6.86,5.05%,1,987,297
TSCO,29.68,-0.44%,12,078,734
TRVI,17.38,-1.86%,3,279,325
TRTX,8.65,1.29%,1,151,993
TRS,43.10,-2.84%,505,775
TROX,6.68,-8.99%,2,417,771
TRON,1.52,-6.17%,849,305
TRN,35.07,-0.17%,1,061,052
TRMD,29.14,-3.73%,4,849,664
TRMB,49.19,-0.08%,2,932,921
TRLV,8.53,-6.47%,2,525,904
TRIP,12.39,0.24%,3,813,781
TRIN,16.89,0.06%,818,083
TREX,45.34,-2.28%,1,739,344
TPG,39.58,-3.91%,3,505,144
TOWN,35.54,1.54%,457,594
TOST,24.51,1.03%,7,189,271
TOI,5.03,0.40%,1,155,423
TNGX,28.39,-0.39%,5,385,619
TNDM,14.41,0.49%,3,498,049
TMQ,3.56,-3.78%,1,275,976
TME,8.20,-1.68%,9,763,022
TMC,4.82,-2.63%,4,211,302
TLS,4.34,1.17%,558,681
TLRY,4.61,0.44%,2,626,290
TLK,14.43,2.20%,984,649
TKC,6.04,-0.49%,723,737
TK,12.45,1.06%,543,849
TILE,32.41,0.15%,358,644
TIGR,4.65,-2.11%,2,685,020
TIC,8.17,1.24%,1,178,211
THM,2.05,-7.66%,610,253
TH,20.52,1.89%,1,539,258
TGB,6.69,-3.88%,3,635,244
TFSL,16.88,1.63%,858,372
TFPM,28.80,-3.55%,569,350
TFC,49.67,1.87%,15,988,832
TEVA,33.21,3.14%,5,567,373
TEO,13.03,-1.21%,736,925
TENX,13.64,11.35%,1,018,497
TENB,27.26,3.49%,2,301,208
TEM,48.61,1.59%,5,324,992
TE,9.24,-11.15%,31,012,088
TDUP,6.21,5.08%,1,250,008
TDS,39.07,0.33%,640,758
TDOC,7.69,1.45%,3,673,948
TDC,31.16,5.02%,4,331,601
TDAY,8.02,3.35%,1,348,786
TCOM,45.50,-1.98%,3,451,758
TBLA,4.67,5.18%,2,333,800
TBBB,42.09,0.96%,539,638
TASK,4.69,-6.01%,886,657
TAP,39.71,0.18%,2,800,257
TALO,13.96,-0.71%,1,503,110
TALK,5.20,-0.19%,4,272,976
TAL,9.44,-0.32%,3,196,492
TAK,15.84,2.39%,3,126,624
TAC,13.69,-1.16%,1,104,174
T,22.81,3.21%,73,551,936
SYM,38.57,-4.05%,2,531,101
SXC,8.37,0.00%,1,498,689
SWMR,41.45,-8.17%,264,684
SWIM,5.88,2.08%,659,128
SWBI,16.67,1.34%,1,518,121
SW,44.36,-2.27%,5,039,289
SVV,9.71,0.73%,874,371
SVRA,5.78,1.58%,1,856,493
SVM,10.58,-5.28%,2,743,067
SVC,1.71,3.01%,7,272,630
SUZ,8.04,-2.07%,2,711,298
SUPV,10.12,-1.94%,1,545,583
SUPN,44.48,0.00%,544,618
STWD,16.74,0.60%,4,487,573
STVN,16.87,-0.41%,295,687
STUB,11.83,3.77%,8,390,736
STTK,5.39,2.86%,577,144
STOK,31.11,0.45%,1,182,652
STNE,10.72,-0.19%,3,365,250
STLA,5.96,-6.58%,27,754,916
STGW,7.04,5.71%,1,564,793
STEP,42.93,-5.57%,1,034,049
STAG,38.88,0.78%,1,629,328
STAA,28.36,-1.63%,584,128
ST,48.81,-5.59%,1,445,981
SSYS,8.32,-3.59%,626,720
SSRM,29.26,-4.75%,3,116,735
SSL,11.11,-1.59%,2,176,402
SRTA,5.57,-3.13%,1,166,563
